Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-19,32.0,32.0,32.0,32.0,100800,ST,2,50400.0,100800
2026-03-20,33.0,33.0,33.0,33.0,3600,ST,1,3600.0,3600
